Rank, Book_Title, Author,Column1
299,Uncle Tom’s Cabin,Harriet Beecher Stowe,3.90 avg rating — 225 824 ratings
300,Invisible Man,Ralph Ellison,3.91 avg rating — 186 033 ratings
301,Beautiful Creatures (Caster Chronicles  #1),Kami Garcia (Goodreads Author),3.77 avg rating — 597 002 ratings
302,The Hunchback of Notre-Dame,Victor Hugo,4.01 avg rating — 199 559 ratings
303,Tao Te Ching,Lao Tzu,4.30 avg rating — 155 739 ratings
304,A Separate Peace,John Knowles,3.59 avg rating — 217 675 ratings
305,The House of Hades (The Heroes of Olympus  #4),Rick Riordan (Goodreads Author),4.56 avg rating — 402 247 ratings
306,Inferno,Dante Alighieri,4.02 avg rating — 179 643 ratings
307,Brisingr (The Inheritance Cycle  #3),Christopher Paolini (Goodreads Author),4.09 avg rating — 369 507 ratings
308,Obsidian (Lux  #1),Jennifer L. Armentrout (Goodreads Author),4.14 avg rating — 280 781 ratings
309,The Grapes of Wrath,John Steinbeck,really liked it 4.00 avg rating — 898 237 ratings
310,The BFG,Roald Dahl,4.23 avg rating — 477 362 ratings
311,Robinson Crusoe,Daniel Defoe,3.68 avg rating — 301 897 ratings
,_____ __ ____ ____,___ _____ ______ (Goodreads Author),3.31 avg rating — 1 013 ratings
313,The Amazing Adventures of Kavalier & Clay,Michael Chabon,4.18 avg rating — 201 866 ratings
314,Stargirl (Stargirl  #1),Jerry Spinelli,3.77 avg rating — 325 460 ratings
315,Room,Emma Donoghue (Goodreads Author),4.07 avg rating — 800 272 ratings
316,Heir of Fire (Throne of Glass  #3),Sarah J. Maas (Goodreads Author),4.47 avg rating — 780 381 ratings
317,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus  #1),Robert M. Pirsig,3.78 avg rating — 229 224 ratings
318,Doctor Zhivago,Boris Pasternak,4.01 avg rating — 96 306 ratings
319,The Amber Spyglass (His Dark Materials  #3),Philip Pullman,4.10 avg rating — 357 531 ratings
320,City of Heavenly Fire (The Mortal Instruments  #6),Cassandra Clare (Goodreads Author),4.39 avg rating — 379 994 ratings
321,Midnight's Children,Salman Rushdie,3.98 avg rating — 122 698 ratings
322,The Last Song,Nicholas Sparks (Goodreads Author),4.16 avg rating — 552 425 ratings
323,Dear John,Nicholas Sparks (Goodreads Author),4.04 avg rating — 596 233 ratings
324,The English Patient,Michael Ondaatje,3.87 avg rating — 131 249 ratings
325,The Firm,John Grisham (Goodreads Author),4.06 avg rating — 621 468 ratings
326,Crescendo (Hush  Hush  #2),Becca Fitzpatrick (Goodreads Author),3.99 avg rating — 321 204 ratings
327,The Remains of the Day,Kazuo Ishiguro (Goodreads Author),4.14 avg rating — 297 836 ratings
328,The Plague,Albert Camus,4.02 avg rating — 258 615 ratings
329,Like Water for Chocolate,Laura Esquivel,3.95 avg rating — 364 096 ratings
330,Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children  #1),Ransom Riggs,3.92 avg rating — 1 250 564 ratings
331,Ignite Me (Shatter Me  #3),Tahereh Mafi,4.47 avg rating — 447 403 ratings
332,Flowers in the Attic (Dollanganger  #1),V.C. Andrews,3.85 avg rating — 210 751 ratings
333,Dragonfly in Amber (Outlander  #2),Diana Gabaldon (Goodreads Author),4.34 avg rating — 352 607 ratings
334,My Ántonia,Willa Cather,3.83 avg rating — 136 689 ratings
335,Breakfast of Champions,Kurt Vonnegut Jr.,4.07 avg rating — 258 584 ratings
336,Breakfast at Tiffany's and Three Stories,Truman Capote,3.85 avg rating — 262 174 ratings
337,Midnight in the Garden of Good and Evil,John Berendt,3.92 avg rating — 267 989 ratings
338,The Origin of Species,Charles Darwin,4.01 avg rating — 113 926 ratings
339,A Little Life,Hanya Yanagihara (Goodreads Author),4.34 avg rating — 579 033 ratings
340,A Streetcar Named Desire,Tennessee Williams,3.98 avg rating — 308 001 ratings
341,The Subtle Knife (His Dark Materials  #2),Philip Pullman,4.15 avg rating — 432 396 ratings
342,Red Queen (Red Queen  #1),Victoria Aveyard (Goodreads Author),4.01 avg rating — 988 035 ratings
343,Hopeless (Hopeless  #1),Colleen Hoover (Goodreads Author),4.26 avg rating — 551 014 ratings
344,The Prince,Niccolò Machiavelli,3.84 avg rating — 333 513 ratings
345,Coraline,Neil Gaiman (Goodreads Author),4.11 avg rating — 681 475 ratings
346,Crown of Midnight (Throne of Glass  #2),Sarah J. Maas (Goodreads Author),4.36 avg rating — 901 809 ratings
347,Daughter of Smoke & Bone (Daughter of Smoke & Bone  #1),Laini Taylor (Goodreads Author),3.99 avg rating — 367 641 ratings
348,Blood Meridian  or  the Evening Redness in the West,Cormac McCarthy,4.16 avg rating — 159 111 ratings
349,A Fine Balance,Rohinton Mistry,4.37 avg rating — 148 542 ratings
350,The One (The Selection  #3),Kiera Cass (Goodreads Author),4.15 avg rating — 674 114 ratings
351,Death of a Salesman,Arthur Miller,3.57 avg rating — 231 784 ratings
352,Infinite Jest,David Foster Wallace,4.26 avg rating — 91 043 ratings
353,All the Bright Places,Jennifer Niven (Goodreads Author),4.13 avg rating — 556 009 ratings
354,Unbroken: A World War II Story of Survival  Resilience and Redemption,Laura Hillenbrand,4.38 avg rating — 928 114 ratings
355,Evermore (The Immortals  #1),Alyson Noel (Goodreads Author),3.59 avg rating — 289 555 ratings
356,The Virgin Suicides,Jeffrey Eugenides,3.80 avg rating — 328 536 ratings
357,A Feast for Crows (A Song of Ice and Fire  #4),George R.R. Martin,4.16 avg rating — 724 713 ratings
358,Pippi Longstocking (Pippi Långstrump  #1),Astrid Lindgren,4.15 avg rating — 198 824 ratings
359,Carrie,Stephen King (Goodreads Author),3.98 avg rating — 709 799 ratings
360,Jonathan Strange & Mr. Norrell,Susanna Clarke,3.86 avg rating — 234 946 ratings
361,Snow Flower and the Secret Fan,Lisa See (Goodreads Author),4.09 avg rating — 370 744 ratings
362,The Scarlet Pimpernel,Emmuska Orczy,4.07 avg rating — 134 884 ratings
363,The Angel Experiment (Maximum Ride  #1),James Patterson (Goodreads Author),4.07 avg rating — 223 852 ratings
364,Anna and the French Kiss (Anna and the French Kiss  #1),Stephanie Perkins (Goodreads Author),3.97 avg rating — 449 535 ratings
365,The Host (The Host  #1),Stephenie Meyer,3.86 avg rating — 1 001 106 ratings
366,Artemis Fowl (Artemis Fowl  #1),Eoin Colfer,3.86 avg rating — 545 051 ratings
367,Matched (Matched  #1),Ally Condie (Goodreads Author),3.63 avg rating — 774 023 ratings
368,I Know Why the Caged Bird Sings (Maya Angelou's Autobiography  #1),Maya Angelou,4.29 avg rating — 525 332 ratings
369,High Fidelity,Nick Hornby,3.91 avg rating — 199 881 ratings
370,Pet Sematary,Stephen King (Goodreads Author),4.06 avg rating — 582 060 ratings
371,Faust  First Part,Johann Wolfgang von Goethe,3.86 avg rating — 75 304 ratings
372,The Shipping News,Annie Proulx,3.88 avg rating — 145 295 ratings
373,The Devil in the White City: Murder  Magic  and Madness at the Fair That Changed America,Erik Larson (Goodreads Author),really liked it 4.00 avg rating — 675 102 ratings
374,The Chosen (Reuven Malther  #1),Chaim Potok,4.07 avg rating — 93 005 ratings
375,The Tales of Beedle the Bard,J.K. Rowling,4.04 avg rating — 485 721 ratings
376,Houdini Heart,Ki Longfellow (Goodreads Author),3.83 avg rating — 5 693 ratings
377,We Were Liars,E. Lockhart (Goodreads Author),3.68 avg rating — 1 125 559 ratings
378,Northanger Abbey,Jane Austen,3.85 avg rating — 395 484 ratings
379,Shantaram,Gregory David Roberts (Goodreads Author),4.27 avg rating — 213 876 ratings
380,Waiting for Godot,Samuel Beckett,3.84 avg rating — 199 363 ratings
381,Nineteen Minutes,Jodi Picoult (Goodreads Author),4.16 avg rating — 366 725 ratings
382,Where the Crawdads Sing,Delia Owens (Goodreads Author),4.39 avg rating — 2 910 010 ratings
383,Queen of Shadows (Throne of Glass  #4),Sarah J. Maas (Goodreads Author),4.59 avg rating — 686 110 ratings
384,A Good Girl's Guide to Murder (A Good Girl's Guide to Murder  #1),Holly  Jackson (Goodreads Author),4.33 avg rating — 955 576 ratings
385,To the Lighthouse,Virginia Woolf,3.80 avg rating — 180 377 ratings
386,Neuromancer (Sprawl  #1),William Gibson,3.90 avg rating — 323 016 ratings
387,The Voyage of the Dawn Treader (Chronicles of Narnia  #3),C.S. Lewis,4.09 avg rating — 465 373 ratings
388,Redeeming Love,Francine Rivers (Goodreads Author),4.51 avg rating — 316 096 ratings
389,Persuasion,Jane Austen,4.15 avg rating — 692 752 ratings
390,I  Robot (Robot  #0.1),Isaac Asimov,4.21 avg rating — 343 016 ratings
391,The Reader,Bernhard Schlink,3.78 avg rating — 208 461 ratings
392,Circe,Madeline Miller (Goodreads Author),4.24 avg rating — 1 017 544 ratings
393,The Lost Symbol (Robert Langdon  #3),Dan Brown (Goodreads Author),3.75 avg rating — 605 060 ratings
394,The Age of Innocence,Edith Wharton,3.96 avg rating — 171 797 ratings
395,A Dance with Dragons (A Song of Ice and Fire  #5),George R.R. Martin,4.33 avg rating — 646 935 ratings
396,The Exorcist,William Peter Blatty,4.20 avg rating — 231 854 ratings
397,Dubliners,James Joyce,3.84 avg rating — 154 106 ratings
398,The Waste Land,T.S. Eliot,4.11 avg rating — 53 428 ratings
399,The Hate U Give (The Hate U Give  #1),Angie Thomas (Goodreads Author),4.48 avg rating — 881 799 ratings
400,Red  White & Royal Blue,Casey McQuiston (Goodreads Author),4.10 avg rating — 953 881 ratings
401,The Return of the King (The Lord of the Rings  #3),J.R.R. Tolkien,4.56 avg rating — 889 360 ratings
402,Betrayed (House of Night  #2),P.C. Cast (Goodreads Author),3.92 avg rating — 265 863 ratings
403,Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells (Goodreads Author),3.85 avg rating — 555 492 ratings
404,Lover Awakened (Black Dagger Brotherhood  #3),J.R. Ward (Goodreads Author),4.43 avg rating — 179 563 ratings
405,The Pearl,John Steinbeck,3.53 avg rating — 235 003 ratings
406,The Twilight Collection,Stephenie Meyer,3.81 avg rating — 46 315 ratings
407,The Republic,Plato,3.96 avg rating — 202 484 ratings
408,The Goldfinch,Donna Tartt,3.94 avg rating — 914 209 ratings
409,The Jungle,Upton Sinclair,3.77 avg rating — 144 389 ratings
410,City of Glass (The Mortal Instruments  #3),Cassandra Clare (Goodreads Author),4.28 avg rating — 954 779 ratings
411,A Christmas Carol,Charles Dickens,4.08 avg rating — 835 968 ratings
412,Voyager (Outlander  #3),Diana Gabaldon (Goodreads Author),4.39 avg rating — 305 608 ratings
413,Me Talk Pretty One Day,David Sedaris,4.01 avg rating — 696 424 ratings
414,I  Claudius (Claudius  #1),Robert Graves,4.24 avg rating — 66 156 ratings
415,The Last Battle (Chronicles of Narnia  #7),C.S. Lewis,4.01 avg rating — 273 137 ratings
416,Untamed (House of Night  #4),P.C. Cast (Goodreads Author),3.94 avg rating — 234 741 ratings
417,Snow Falling on Cedars,David Guterson,3.86 avg rating — 186 172 ratings
418,Everything is Illuminated,Jonathan Safran Foer (Goodreads Author),3.89 avg rating — 179 159 ratings
419,The 5th Wave (The 5th Wave  #1),Rick Yancey,4.01 avg rating — 454 928 ratings
420,The Invisible Life of Addie LaRue,V.E. Schwab,4.20 avg rating — 1 019 946 ratings
421,Angels & Demons (Robert Langdon  #1),Dan Brown (Goodreads Author),3.94 avg rating — 3 172 664 ratings
422,A Room with a View,E.M. Forster,3.90 avg rating — 182 091 ratings
423,Bleak House,Charles Dickens,4.02 avg rating — 108 198 ratings
424,Emma,Jane Austen,4.05 avg rating — 873 460 ratings
425,Night  (The Night Trilogy  #1),Elie Wiesel,4.37 avg rating — 1 230 272 ratings
426,The Nightingale,Kristin Hannah (Goodreads Author),4.62 avg rating — 1 299 459 ratings
427,The Elite (The Selection  #2),Kiera Cass (Goodreads Author),3.95 avg rating — 756 493 ratings
428,The Raven Boys (The Raven Cycle  #1),Maggie Stiefvater (Goodreads Author),4.05 avg rating — 363 772 ratings
429,Chosen (House of Night  #3),P.C. Cast (Goodreads Author),3.91 avg rating — 243 342 ratings
430,The Complete Poems of Emily Dickinson,Emily Dickinson,4.27 avg rating — 96 655 ratings
,______ ____,____ ____ _____ _____,4.58 avg rating — 2 894 ratings
432,The War of the Worlds,H.G. Wells,3.83 avg rating — 310 413 ratings
433,Of Human Bondage,W. Somerset Maugham,4.14 avg rating — 56 728 ratings
434,A Discovery of Witches (All Souls  #1),Deborah Harkness (Goodreads Author),4.02 avg rating — 485 698 ratings
435,The God Delusion,Richard Dawkins (Goodreads Author),3.90 avg rating — 266 860 ratings
436,A Court of Wings and Ruin (A Court of Thorns and Roses  #3),Sarah J. Maas (Goodreads Author),4.47 avg rating — 1 353 143 ratings
437,The Elephant Tree,R.D. Ronald,3.70 avg rating — 27 244 ratings
438,North and South,Elizabeth Gaskell,4.15 avg rating — 168 710 ratings
439,The Bad Beginning (A Series of Unfortunate Events  #1),Lemony Snicket (Goodreads Author),really liked it 4.00 avg rating — 514 813 ratings
,______,____ ____ _____ _____,4.65 avg rating — 2 498 ratings
441,Brideshead Revisited,Evelyn Waugh,4.01 avg rating — 111 613 ratings
442,World War Z: An Oral History of the Zombie War,Max Brooks (Goodreads Author),4.02 avg rating — 521 375 ratings
443,The Two Towers (The Lord of the Rings  #2),J.R.R. Tolkien,4.48 avg rating — 952 335 ratings
444,Sense and Sensibility,Jane Austen,4.08 avg rating — 1 177 880 ratings
445,Ugly Love,Colleen Hoover (Goodreads Author),4.06 avg rating — 1 738 725 ratings
446,Bloodlines (Bloodlines  #1),Richelle Mead (Goodreads Author),4.20 avg rating — 185 190 ratings
447,The Iron King (The Iron Fey  #1),Julie Kagawa (Goodreads Author),3.88 avg rating — 212 077 ratings
448,The Woman in White,Wilkie Collins,really liked it 4.00 avg rating — 153 287 ratings
449,The Witching Hour (Lives of the Mayfair Witches  #1),Anne Rice,4.10 avg rating — 116 810 ratings
450,Unwind (Unwind  #1),Neal Shusterman (Goodreads Author),4.17 avg rating — 226 997 ratings
451,Wizard's First Rule (Sword of Truth  #1),Terry Goodkind,4.12 avg rating — 245 560 ratings
452,Snow Crash,Neal Stephenson (Goodreads Author),4.02 avg rating — 277 982 ratings
453,Johnny Got His Gun,Dalton Trumbo,4.19 avg rating — 43 426 ratings
454,Vanity Fair,William Makepeace Thackeray,3.80 avg rating — 127 658 ratings
455,2001: A Space Odyssey,Arthur C. Clarke,4.17 avg rating — 310 946 ratings
456,Bared to You (Crossfire  #1),Sylvia Day (Goodreads Author),4.15 avg rating — 523 201 ratings
457,Cry  the Beloved Country,Alan Paton,3.91 avg rating — 74 405 ratings
458,Cannery Row (Cannery Row  #1),John Steinbeck,4.05 avg rating — 136 123 ratings
459,Torment (Fallen  #2),Lauren Kate (Goodreads Author),3.85 avg rating — 233 872 ratings
460,Shadow and Bone (The Shadow and Bone Trilogy  #1),Leigh Bardugo (Goodreads Author),3.93 avg rating — 942 819 ratings
461,Far From the Madding Crowd,Thomas Hardy,3.96 avg rating — 151 949 ratings
462,Are You My Mother?,P.D. Eastman,4.21 avg rating — 242 320 ratings
463,Unravel Me (Shatter Me  #2),Tahereh Mafi,4.15 avg rating — 513 033 ratings
464,Much Ado About Nothing,William Shakespeare,4.06 avg rating — 242 574 ratings
465,The Polar Express,Chris Van Allsburg,4.32 avg rating — 239 598 ratings
466,A Great and Terrible Beauty (Gemma Doyle  #1),Libba Bray (Goodreads Author),3.79 avg rating — 222 132 ratings
467,The Left Hand of Darkness,Ursula K. Le Guin,4.10 avg rating — 177 778 ratings
468,A Monster Calls,Patrick Ness,4.35 avg rating — 262 891 ratings
469,Sarah's Key,Tatiana de Rosnay (Goodreads Author),4.17 avg rating — 472 496 ratings
470,Chocolat (Chocolat  #1),Joanne Harris (Goodreads Author),3.96 avg rating — 125 090 ratings
471,The Mortal Instruments Boxed Set: City of Bones; City of Ashes; City of Glass (The Mortal Instruments  #1-3),Cassandra Clare (Goodreads Author),4.55 avg rating — 68 119 ratings
472,The Red Pyramid (The Kane Chronicles  #1),Rick Riordan (Goodreads Author),4.10 avg rating — 391 996 ratings
473,Little House on the Prairie (Little House  #3),Laura Ingalls Wilder,4.21 avg rating — 289 303 ratings
474,The Summoning (Darkest Powers  #1),Kelley Armstrong (Goodreads Author),4.02 avg rating — 171 340 ratings
475,Into Thin Air: A Personal Account of the Mount Everest Disaster,Jon Krakauer (Goodreads Author),4.24 avg rating — 499 584 ratings
476,Halfway to the Grave (Night Huntress  #1),Jeaniene Frost (Goodreads Author),4.13 avg rating — 157 221 ratings
477,Macbeth,William Shakespeare,3.90 avg rating — 886 076 ratings
478,Perfect Chemistry (Perfect Chemistry  #1),Simone Elkeles (Goodreads Author),4.04 avg rating — 259 362 ratings
479,Just Listen,Sarah Dessen (Goodreads Author),4.05 avg rating — 246 579 ratings
480,The Darkest Minds (The Darkest Minds  #1),Alexandra Bracken (Goodreads Author),4.16 avg rating — 190 225 ratings
481,I'll Give You the Sun,Jandy Nelson (Goodreads Author),4.16 avg rating — 333 119 ratings
482,The Last Lecture,Randy Pausch,4.26 avg rating — 343 204 ratings
483,Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,Greg Mortenson (Goodreads Author),3.66 avg rating — 343 839 ratings
484,Silence (Hush  Hush  #3),Becca Fitzpatrick (Goodreads Author),4.08 avg rating — 281 312 ratings
485,The Horse and His Boy (Chronicles of Narnia  #5),C.S. Lewis,3.91 avg rating — 346 507 ratings
486,Sabriel (Abhorsen   #1),Garth Nix (Goodreads Author),4.16 avg rating — 207 115 ratings
487,Angelfall (Penryn & the End of Days  #1),Susan Ee (Goodreads Author),4.11 avg rating — 190 686 ratings
488,Anne of Avonlea (Anne of Green Gables  #2),L.M. Montgomery,4.22 avg rating — 196 179 ratings
489,Little House in the Big Woods (Little House  #1),Laura Ingalls Wilder,4.20 avg rating — 267 275 ratings
