Rank,Book_Title,Author
408,Finnegans Wake,James Joyce
409,The Adventures of Tom Sawyer,Mark Twain
410,Cry  the Beloved Country,Alan Paton
411,Analects,Confucius
412,The Snow Leopard,Peter Matthiessen
413,Germinal,ƒmile Zola
414,The Quran,
415,The Mill on the Floss,George Eliot
416,Humboldt's Gift,Saul Bellow
417,Lonesome Dove,Larry McMurtry
418,La Regenta,Clar’n
419,La Celestina,Fernando de Rojas
420,The Sellout,Paul Beatty
421,The Joy Luck Club,Amy Tan
422,The Cherry Orchard,Anton Chekhov
423,Satanic Verses,Salman Rushdie
424,Eugene Onegin,Alexander Pushkin
425,The History of the Peloponnesian War,Thucydides
426,Ragtime,E. L. Doctorow
427,A Handful of Dust,Evelyn Waugh
428,Freedom: A Novel,Jonathan Franzen
429,Death of Virgil,Hermann Broch
430,The Federalist Papers,Alexander HamiltonJames MadisonJohn Jay
431,Arrow of God,Chinua Achebe
432,Bastard Out of Carolina,Dorothy Allison
433,Stories of Guy de Maupassant,Guy de Maupassant
434,The Blind Assassin,Margaret Atwood
435,Facundo,Domingo Faustino Sarmiento
436,Schindler's List,Thomas Keneally
437,Moveable Feast,Ernest Hemingway
438,Death in Venice,Thomas Mann
439,The Hunchback of Notre-Dame,Victor Hugo
440,Black Lamb and Grey Falcon,Rebecca West
441,The Spy Who Came in From the Cold,John le CarrŽ
442,The Life of Samuel Johnson,James Boswell
443,The Posthumous Memoirs of Bras Cubas,Machado de Assis
444,The War of the End of the World,Mario Vargas Llosa
445,Goodnight Moon,Margaret Wise Brown
446,A Midsummer Night's Dream,William Shakespeare
447,Half of a Yellow Sun,Chimamanda Ngozi Adichie
448,Guns  Germs  and Steel,Jared Diamond
449,Waiting,Ha Jin
450,Dialogue Concerning the Two Chief World Systems,Galileo
451,Civilization and Its Discontents,Sigmund Freud
452,The English Patient,Michael Ondaatje
453,Mere Christianity,C. S. Lewis
454,The Affluent Society,John Kenneth Galbraith
455,A Bend in the River,V. S. Naipaul
456,Beyond Good and Evil,Friedrich Nietzsche
457,Waiting for the Barbarians,J M Coetzee
458,Collected Poems of T.S. Eliot,T. S. Eliot
459,The Road to Serfdom,Friedrich von Hayek
460,Bartleby the Scrivener,Herman Melville
461,Roll of Thunder  Hear My Cry,Mildred D. Taylor
462,The Confusions of Young Tšrless,Robert Musil
463,Journey to the West,Wu Cheng'en
464,Go Tell it on the Mountain,James Baldwin
465,Harry Potter and the Order of the Phoenix,J. K Rowling
466,Harry Potter And The Chamber Of Secrets,J. K Rowling
467,True History of the Kelly Gang,Peter Carey
